trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
12286246:14824057:14828025,10:34:00,10:34:00,102601,33,13978,,0,0,0
12286246:14824057:14828025,10:34:00,10:34:00,101571,34,14205,,0,0,0
12286246:14824057:14828025,10:35:00,10:35:00,101533,35,14440,,0,0,0
12286246:14824057:14828025,10:37:00,10:37:00,102349,36,15416,,0,0,0
12286246:14824057:14828025,10:37:00,10:37:00,102343,37,15622,,0,0,1
12286246:14824057:14828025,10:37:00,10:37:00,102546,38,15863,,0,0,0
12286246:14824057:14828025,10:39:00,10:39:00,100136,39,16578,,0,0,0
12286246:14824057:14828025,10:40:00,10:40:00,101338,40,17077,,0,0,0
12286246:14824057:14828025,10:41:00,10:41:00,101371,41,17490,,0,0,0
12286246:14824057:14828025,10:41:00,10:41:00,101388,42,17778,,0,0,0
12286246:14824057:14828025,10:42:00,10:42:00,101436,43,18203,,0,0,0
12286246:14824057:14828025,10:42:00,10:42:00,101450,44,18335,,0,0,0
12286246:14824057:14828025,10:43:00,10:43:00,101473,45,18698,,0,0,0
12286246:14824057:14828025,10:43:00,10:43:00,101479,46,18851,,0,0,0
12286246:14824057:14828025,10:44:00,10:44:00,101453,47,19252,,0,0,0
12286246:14824057:14828025,10:45:00,10:45:00,101437,48,19469,,0,0,0
12286246:14824057:14828025,10:45:00,10:45:00,101419,49,19783,,0,0,0
12286246:14824057:14828025,10:47:00,10:47:00,101310,50,20602,,0,0,0
12286246:14824057:14828025,10:48:00,10:48:00,101255,51,21145,,0,0,0
12286246:14824057:14828025,10:50:00,10:50:00,101232,52,21962,,1,0,1
11763091:14824059:14828156,17:56:00,17:56:00,102211,1,0,,0,0,1
11763091:14824059:14828156,17:59:00,17:59:00,100010,2,776,,0,0,0
11763091:14824059:14828156,18:01:00,18:01:00,100032,3,972,,0,0,0
11763091:14824059:14828156,18:04:00,18:04:00,100076,4,1360,,0,0,0
11763091:14824059:14828156,18:05:00,18:05:00,100146,5,1866,,0,0,0
