trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
11618870:13651578:13656394,16:16:00,16:16:00,100908,10,3099,,0,0,0
11618870:13651578:13656394,16:16:00,16:16:00,104096,11,3410,,0,0,0
11618870:13651578:13656394,16:17:00,16:17:00,104097,12,3684,,0,0,0
11618870:13651578:13656394,16:18:00,16:18:00,104098,13,4064,,0,0,0
11618870:13651578:13656394,16:19:00,16:19:00,104099,14,4424,,0,0,0
11618870:13651578:13656394,16:19:00,16:19:00,104100,15,4968,,0,0,1
11618870:13651578:13656394,16:20:00,16:20:00,104109,16,5288,,0,0,0
11618870:13651578:13656394,16:20:00,16:20:00,104101,17,5492,,0,0,0
11618870:13651578:13656394,16:21:00,16:21:00,104102,18,5968,,0,0,0
11618870:13651578:13656394,16:22:00,16:22:00,104103,19,6457,,0,0,0
11618870:13651578:13656394,16:23:00,16:23:00,104104,20,6784,,0,0,0
11618870:13651578:13656394,16:24:00,16:24:00,101672,21,6983,,0,0,0
11618870:13651578:13656394,16:24:00,16:24:00,101691,22,7215,,0,0,0
11618870:13651578:13656394,16:25:00,16:25:00,101723,23,7580,,0,0,1
11618870:13651578:13656394,16:26:00,16:26:00,101729,24,7893,,0,0,0
11618870:13651578:13656394,16:26:00,16:26:00,101733,25,8110,,0,0,0
11618870:13651578:13656394,16:27:00,16:27:00,101739,26,8424,,0,0,0
11618870:13651578:13656394,16:27:00,16:27:00,101754,27,8607,,0,0,0
11618870:13651578:13656394,16:27:00,16:27:00,101752,28,8923,,0,0,0
11618870:13651578:13656394,16:28:00,16:28:00,101745,29,9115,,0,0,0
11618870:13651578:13656394,16:29:00,16:29:00,101726,30,9419,,0,0,0
11618870:13651578:13656394,16:29:00,16:29:00,101710,31,9645,,0,0,0
11618870:13651578:13656394,16:30:00,16:30:00,101689,32,9886,,0,0,0
11618870:13651578:13656394,16:30:00,16:30:00,101659,33,10192,,0,0,0
11618870:13651578:13656394,16:31:00,16:31:00,101630,34,10470,,0,0,0
11618870:13651578:13656394,16:32:00,16:32:00,102443,35,10671,,0,0,0
11618870:13651578:13656394,16:33:00,16:33:00,102442,36,11135,,0,0,0
11618870:13651578:13656394,16:35:00,16:35:00,101534,37,11640,,1,0,1
11587188:13651581:13656843,07:12:00,07:12:00,102495,1,0,,0,0,1
11587188:13651581:13657938,07:12:00,07:12:00,102495,1,0,,0,0,1
11587188:13651581:13656843,07:13:00,07:13:00,101429,2,264,,0,0,0
11587188:13651581:13657938,07:13:00,07:13:00,101429,2,264,,0,0,0
11587188:13651581:13656843,07:15:00,07:15:00,101392,3,1316,,0,0,0
11587188:13651581:13657938,07:15:00,07:15:00,101392,3,1316,,0,0,0
11587188:13651581:13656843,07:16:00,07:16:00,101406,4,1780,,0,0,0
11587188:13651581:13657938,07:16:00,07:16:00,101406,4,1780,,0,0,0
11587188:13651581:13656843,07:18:00,07:18:00,101395,5,2432,,0,0,0
11587188:13651581:13657938,07:18:00,07:18:00,101395,5,2432,,0,0,0
11587188:13651581:13656843,07:18:00,07:18:00,101459,6,2731,,0,0,0
11587188:13651581:13657938,07:18:00,07:18:00,101459,6,2731,,0,0,0
11587188:13651581:13656843,07:19:00,07:19:00,101411,7,3210,,0,0,0
11587188:13651581:13657938,07:19:00,07:19:00,101411,7,3210,,0,0,0
11587188:13651581:13656843,07:20:00,07:20:00,102612,8,3504,,0,0,1
11587188:13651581:13657938,07:20:00,07:20:00,102612,8,3504,,0,0,1
11587188:13651581:13656843,07:20:00,07:20:00,101341,9,3722,,0,0,0
11587188:13651581:13657938,07:20:00,07:20:00,101341,9,3722,,0,0,0
11587188:13651581:13656843,07:21:00,07:21:00,101293,10,4140,,0,0,0
11587188:13651581:13657938,07:21:00,07:21:00,101293,10,4140,,0,0,0
11587188:13651581:13656843,07:22:00,07:22:00,101264,11,4448,,0,0,0
11587188:13651581:13657938,07:22:00,07:22:00,101264,11,4448,,0,0,0
11587188:13651581:13656843,07:23:00,07:23:00,101155,12,4983,,0,0,0
11587188:13651581:13657938,07:23:00,07:23:00,101155,12,4983,,0,0,0
11587188:13651581:13656843,07:24:00,07:24:00,101133,13,5190,,0,0,0
11587188:13651581:13657938,07:24:00,07:24:00,101133,13,5190,,0,0,0
11587188:13651581:13656843,07:25:00,07:25:00,101056,14,5623,,0,0,0
11587188:13651581:13657938,07:25:00,07:25:00,101056,14,5623,,0,0,0
11587188:13651581:13656843,07:25:00,07:25:00,101008,15,5964,,0,0,0
11587188:13651581:13657938,07:25:00,07:25:00,101008,15,5964,,0,0,0
11587188:13651581:13656843,07:26:00,07:26:00,100984,16,6247,,0,0,0
11587188:13651581:13657938,07:26:00,07:26:00,100984,16,6247,,0,0,0
11587188:13651581:13656843,07:26:00,07:26:00,100924,17,6644,,0,0,0
11587188:13651581:13657938,07:26:00,07:26:00,100924,17,6644,,0,0,0
11587188:13651581:13656843,07:27:00,07:27:00,100855,18,7057,,0,0,0
11587188:13651581:13657938,07:27:00,07:27:00,100855,18,7057,,0,0,0
11587188:13651581:13656843,07:28:00,07:28:00,100743,19,7767,,0,0,0
11587188:13651581:13657938,07:28:00,07:28:00,100743,19,7767,,0,0,0
11587188:13651581:13656843,07:29:00,07:29:00,100662,20,8193,,0,0,1
11587188:13651581:13657938,07:29:00,07:29:00,100662,20,8193,,0,0,1
11587188:13651581:13656843,07:30:00,07:30:00,100648,21,8385,,0,0,0
11587188:13651581:13657938,07:30:00,07:30:00,100648,21,8385,,0,0,0
11587188:13651581:13656843,07:30:00,07:30:00,100619,22,8643,,0,0,0
11587188:13651581:13657938,07:30:00,07:30:00,100619,22,8643,,0,0,0
11587188:13651581:13656843,07:31:00,07:31:00,100598,23,8907,,0,0,0
11587188:13651581:13657938,07:31:00,07:31:00,100598,23,8907,,0,0,0
11587188:13651581:13656843,07:32:00,07:32:00,100562,24,9278,,0,0,0
11587188:13651581:13657938,07:32:00,07:32:00,100562,24,9278,,0,0,0
11587188:13651581:13656843,07:33:00,07:33:00,100061,25,9580,,0,0,0
11587188:13651581:13657938,07:33:00,07:33:00,100061,25,9580,,0,0,0
11587188:13651581:13656843,07:34:00,07:34:00,100459,26,9843,,0,0,0
11587188:13651581:13657938,07:34:00,07:34:00,100459,26,9843,,0,0,0
11587188:13651581:13656843,07:35:00,07:35:00,102624,27,10332,,0,0,0
11587188:13651581:13657938,07:35:00,07:35:00,102624,27,10332,,0,0,0
11587188:13651581:13656843,07:36:00,07:36:00,102626,28,10635,,0,0,0
