trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
12356443:14826741:14829160,17:58:00,17:58:00,100191,14,3796,,0,0,0
12356443:14826741:14829160,17:59:00,17:59:00,100165,15,4003,,0,0,0
12356443:14826741:14829160,18:01:00,18:01:00,100106,16,4635,,0,0,0
12356443:14826741:14829160,18:02:00,18:02:00,100068,17,4902,,0,0,0
12356443:14826741:14829160,18:04:00,18:04:00,100051,18,5291,,0,0,1
12356443:14826741:14829160,18:05:00,18:05:00,100394,19,5667,,0,0,0
12356443:14826741:14829160,18:06:00,18:06:00,100146,20,5925,,0,0,0
12356443:14826741:14829160,18:07:00,18:07:00,100178,21,6219,,0,0,0
12356443:14826741:14829160,18:09:00,18:09:00,100198,22,6514,,0,0,0
12356443:14826741:14829160,18:11:00,18:11:00,100292,23,7153,,0,0,1
12356443:14826741:14829160,18:13:00,18:13:00,100346,24,7698,,0,0,0
12356443:14826741:14829160,18:13:00,18:13:00,100380,25,7925,,0,0,0
12356443:14826741:14829160,18:14:00,18:14:00,100414,26,8140,,0,0,0
12356443:14826741:14829160,18:15:00,18:15:00,100452,27,8414,,0,0,0
12356443:14826741:14829160,18:16:00,18:16:00,100523,28,8747,,0,0,0
12356443:14826741:14829160,18:16:00,18:16:00,100587,29,9008,,0,0,0
12356443:14826741:14829160,18:17:00,18:17:00,100620,30,9268,,0,0,0
12356443:14826741:14829160,18:18:00,18:18:00,100670,31,9562,,0,0,1
12356443:14826741:14829160,18:18:00,18:18:00,100716,32,9782,,0,0,0
12356443:14826741:14829160,18:20:00,18:20:00,100805,33,10445,,0,0,0
12356443:14826741:14829160,18:20:00,18:20:00,100841,34,10683,,0,0,0
12356443:14826741:14829160,18:21:00,18:21:00,100903,35,10953,,0,0,0
12356443:14826741:14829160,18:22:00,18:22:00,100928,36,11442,,0,0,0
12356443:14826741:14829160,18:23:00,18:23:00,100949,37,11621,,0,0,0
12356443:14826741:14829160,18:23:00,18:23:00,100978,38,11904,,0,0,0
12356443:14826741:14829160,18:24:00,18:24:00,100992,39,12087,,0,0,0
12356443:14826741:14829160,18:25:00,18:25:00,101015,40,12395,,0,0,0
12356443:14826741:14829160,18:25:00,18:25:00,101030,41,12662,,0,0,0
12356443:14826741:14829160,18:26:00,18:26:00,101071,42,13073,,0,0,0
12356443:14826741:14829160,18:27:00,18:27:00,101104,43,13301,,0,0,0
12356443:14826741:14829160,18:28:00,18:28:00,101142,44,13686,,0,0,1
12356443:14826741:14829160,18:28:00,18:28:00,101171,45,13981,,0,0,0
12356443:14826741:14829160,18:29:00,18:29:00,101189,46,14175,,0,0,0
12356443:14826741:14829160,18:29:00,18:29:00,101216,47,14482,,0,0,0
12356443:14826741:14829160,18:29:00,18:29:00,101175,48,14711,,0,0,0
12356443:14826741:14829160,18:30:00,18:30:00,101148,49,14983,,0,0,0
12356443:14826741:14829160,18:30:00,18:30:00,101118,50,15210,,0,0,0
12356443:14826741:14829160,18:30:00,18:30:00,101094,51,15423,,0,0,0
12356443:14826741:14829160,18:32:00,18:32:00,101068,52,15821,,0,0,0
12356443:14826741:14829160,18:33:00,18:33:00,101081,53,16284,,0,0,0
12356443:14826741:14829160,18:34:00,18:34:00,101143,54,17022,,0,0,0
12356443:14826741:14829160,18:35:00,18:35:00,101111,55,17311,,1,1,0
12356443:14826741:14829160,18:36:00,18:36:00,102611,56,17465,,1,0,1
12352500:14826745:14828321,16:42:00,16:42:00,102211,1,0,,0,0,1
12352500:14826745:14828321,16:45:00,16:45:00,100010,2,776,,0,0,0
12352500:14826745:14828321,16:47:00,16:47:00,100032,3,972,,0,0,0
12352500:14826745:14828321,16:50:00,16:50:00,100076,4,1360,,0,0,0
12352500:14826745:14828321,16:51:00,16:51:00,100146,5,1866,,0,0,0
12352500:14826745:14828321,16:53:00,16:53:00,100198,6,2440,,0,0,1
12352500:14826745:14828321,16:56:00,16:56:00,100358,7,3457,,0,0,0
12352500:14826745:14828321,16:58:00,16:58:00,100456,8,3988,,0,0,0
12352500:14826745:14828321,17:00:00,17:00:00,100554,9,4420,,0,0,1
12352500:14826745:14828321,17:02:00,17:02:00,102722,10,5916,,0,0,0
12352500:14826745:14828321,17:03:00,17:03:00,100817,11,6683,,0,0,0
12352500:14826745:14828321,17:07:00,17:07:00,102721,12,8812,,0,0,0
12352500:14826745:14828321,17:11:00,17:11:00,101254,13,10976,,0,0,0
12352500:14826745:14828321,17:12:00,17:12:00,101260,14,12022,,0,0,0
12352500:14826745:14828321,17:14:00,17:14:00,101245,15,12865,,0,0,1
12352500:14826745:14828321,17:15:00,17:15:00,101275,16,13264,,0,0,0
12352500:14826745:14828321,17:16:00,17:16:00,101326,17,13661,,0,0,0
12352500:14826745:14828321,17:17:00,17:17:00,101380,18,14133,,0,0,0
12352500:14826745:14828321,17:19:00,17:19:00,101467,19,14610,,0,0,0
12352500:14826745:14828321,17:20:00,17:20:00,101513,20,15116,,0,0,0
12352500:14826745:14828321,17:22:00,17:22:00,101546,21,15535,,0,0,0
12352500:14826745:14828321,17:23:00,17:23:00,101597,22,15960,,0,0,0
12352500:14826745:14828321,17:26:00,17:26:00,101632,23,16875,,0,0,0
12352500:14826745:14828321,17:28:00,17:28:00,102442,24,17506,,0,0,0
12352500:14826745:14828321,17:31:00,17:31:00,101542,25,17985,,1,0,1
12342167:14826746:14828941,14:38:00,14:38:00,101119,1,0,,0,0,1
12342167:14826746:14828941,14:39:00,14:39:00,101145,2,247,,0,0,0
12342167:14826746:14828941,14:40:00,14:40:00,101080,3,837,,0,0,0
12342167:14826746:14828941,14:41:00,14:41:00,101069,4,1245,,0,0,0
12342167:14826746:14828941,14:41:00,14:41:00,101052,5,1407,,0,0,0
12342167:14826746:14828941,14:42:00,14:42:00,101031,6,1833,,0,0,0
12342167:14826746:14828941,14:43:00,14:43:00,101032,7,2064,,0,0,0
12342167:14826746:14828941,14:44:00,14:44:00,101050,8,2645,,0,0,0
12342167:14826746:14828941,14:45:00,14:45:00,101002,9,2979,,0,0,0
12342167:14826746:14828941,14:46:00,14:46:00,100910,10,3665,,0,0,0
12342167:14826746:14828941,14:47:00,14:47:00,100856,11,4094,,0,0,0
12342167:14826746:14828941,14:48:00,14:48:00,100795,12,4442,,0,0,0
12342167:14826746:14828941,14:49:00,14:49:00,100755,13,4815,,0,0,0
12342167:14826746:14828941,14:50:00,14:50:00,100687,14,5110,,0,0,0
12342167:14826746:14828941,14:50:00,14:50:00,100644,15,5300,,0,0,0
12342167:14826746:14828941,14:51:00,14:51:00,100585,16,5587,,0,0,0
12342167:14826746:14828941,14:51:00,14:51:00,100492,17,5909,,0,0,0
12342167:14826746:14828941,14:52:00,14:52:00,100463,18,6158,,0,0,1
12342167:14826746:14828941,14:52:00,14:52:00,100416,19,6339,,0,0,0
12342167:14826746:14828941,14:53:00,14:53:00,100386,20,6639,,0,0,0
12342167:14826746:14828941,14:54:00,14:54:00,100338,21,6810,,0,0,0
12342167:14826746:14828941,14:54:00,14:54:00,100310,22,7029,,0,0,0
12342167:14826746:14828941,14:55:00,14:55:00,100273,23,7307,,0,0,0
12342167:14826746:14828941,14:56:00,14:56:00,100215,24,7698,,0,0,0
12342167:14826746:14828941,14:57:00,14:57:00,100186,25,8008,,0,0,1
12342167:14826746:14828941,14:58:00,14:58:00,100149,26,8415,,0,0,0
12342167:14826746:14828941,15:00:00,15:00:00,100930,27,8907,,0,0,0
12342167:14826746:14828941,15:02:00,15:02:00,100047,28,9409,,0,0,0
12342167:14826746:14828941,15:04:00,15:04:00,100028,29,9691,,0,0,0
12342167:14826746:14828941,15:07:00,15:07:00,100033,30,10050,,0,0,1
12342167:14826746:14828941,15:08:00,15:08:00,100045,31,10271,,0,0,0
12342167:14826746:14828941,15:09:00,15:09:00,100064,32,10482,,0,0,0
12342167:14826746:14828941,15:10:00,15:10:00,100126,33,10933,,0,0,0
12342167:14826746:14828941,15:11:00,15:11:00,100153,34,11178,,0,0,0
12342167:14826746:14828941,15:12:00,15:12:00,102573,35,11566,,0,0,0
12342167:14826746:14828941,15:13:00,15:13:00,100212,36,11906,,0,0,0
12342167:14826746:14828941,15:15:00,15:15:00,100320,37,12385,,0,0,1
12342167:14826746:14828941,15:16:00,15:16:00,100384,38,12702,,0,0,0
12342167:14826746:14828941,15:16:00,15:16:00,100434,39,12976,,0,0,0
12342167:14826746:14828941,15:17:00,15:17:00,100451,40,13200,,0,0,0
12342167:14826746:14828941,15:18:00,15:18:00,100479,41,13449,,0,0,0
12342167:14826746:14828941,15:18:00,15:18:00,100518,42,13704,,0,0,0
12342167:14826746:14828941,15:19:00,15:19:00,100544,43,13884,,0,0,0
12342167:14826746:14828941,15:19:00,15:19:00,100565,44,14052,,0,0,0
12342167:14826746:14828941,15:20:00,15:20:00,100606,45,14331,,0,0,0
12342167:14826746:14828941,15:20:00,15:20:00,100652,46,14614,,0,0,0
12342167:14826746:14828941,15:21:00,15:21:00,100712,47,14999,,0,0,0
12342167:14826746:14828941,15:22:00,15:22:00,102608,48,15432,,0,0,0
12342167:14826746:14828941,15:23:00,15:23:00,100793,49,15773,,0,0,0
12342167:14826746:14828941,15:24:00,15:24:00,100822,50,16063,,0,0,0
12342167:14826746:14828941,15:24:00,15:24:00,100844,51,16292,,0,0,0
12342167:14826746:14828941,15:25:00,15:25:00,100869,52,16488,,0,0,0
12342167:14826746:14828941,15:25:00,15:25:00,100901,53,16701,,0,0,0
12342167:14826746:14828941,15:26:00,15:26:00,100944,54,17174,,0,0,0
12342167:14826746:14828941,15:27:00,15:27:00,100956,55,17490,,0,0,0
12342167:14826746:14828941,15:27:00,15:27:00,100071,56,17832,,0,0,0
12342167:14826746:14828941,15:30:00,15:30:00,101036,57,18409,,0,0,0
12342167:14826746:14828941,15:33:00,15:33:00,102420,58,18940,,1,0,1
12352503:14826748:14827150,17:07:00,17:07:00,102211,1,0,,0,0,1
12352503:14826748:14827150,17:10:00,17:10:00,100010,2,776,,0,0,0
12352503:14826748:14827150,17:12:00,17:12:00,100032,3,972,,0,0,0
12352503:14826748:14827150,17:15:00,17:15:00,100076,4,1360,,0,0,0
