trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
11596716:13642523:14826769,08:25:00,08:25:00,100421,7,1682,,0,0,0
11596716:13642523:14826769,08:27:00,08:27:00,100366,8,2168,,0,0,0
11596716:13642523:14826769,08:27:00,08:27:00,100372,9,2443,,0,0,0
11596716:13642523:14826769,08:29:00,08:29:00,100418,10,2932,,0,0,0
11596716:13642523:14826769,08:30:00,08:30:00,100476,11,3522,,0,0,1
11596716:13642523:14826769,08:31:00,08:31:00,100532,12,3940,,0,0,0
11596716:13642523:14826769,08:32:00,08:32:00,100576,13,4248,,0,0,0
11596716:13642523:14826769,08:32:00,08:32:00,100601,14,4543,,0,0,0
11596716:13642523:14826769,08:33:00,08:33:00,100628,15,4825,,0,0,0
11596716:13642523:14826769,08:34:00,08:34:00,100623,16,5235,,0,0,0
11596716:13642523:14826769,08:35:00,08:35:00,100572,17,5495,,0,0,0
11596716:13642523:14826769,08:35:00,08:35:00,100527,18,5739,,0,0,0
11596716:13642523:14826769,08:36:00,08:36:00,100495,19,6020,,0,0,0
11596716:13642523:14826769,08:37:00,08:37:00,100534,20,6404,,0,0,0
11596716:13642523:14826769,08:38:00,08:38:00,100535,21,6740,,0,0,0
11596716:13642523:14826769,08:39:00,08:39:00,100564,22,6916,,0,0,0
11596716:13642523:14826769,08:41:00,08:41:00,100600,23,7245,,0,0,1
11596716:13642523:14826769,08:42:00,08:42:00,100645,24,7553,,0,0,0
11596716:13642523:14826769,08:42:00,08:42:00,100724,25,8018,,0,0,0
11596716:13642523:14826769,08:43:00,08:43:00,100760,26,8340,,0,0,0
11596716:13642523:14826769,08:43:00,08:43:00,100836,27,8674,,0,0,0
11596716:13642523:14826769,08:44:00,08:44:00,100892,28,9036,,0,0,0
11596716:13642523:14826769,08:46:00,08:46:00,100919,29,9601,,0,0,1
11596716:13642523:14826769,08:47:00,08:47:00,100926,30,9855,,0,0,0
11596716:13642523:14826769,08:48:00,08:48:00,100953,31,10353,,0,0,0
11596716:13642523:14826769,08:48:00,08:48:00,100967,32,10644,,0,0,0
11596716:13642523:14826769,08:49:00,08:49:00,100975,33,10976,,0,0,0
11596716:13642523:14826769,08:49:00,08:49:00,100973,34,11205,,0,0,0
11596716:13642523:14826769,08:50:00,08:50:00,100964,35,11380,,0,0,0
11596716:13642523:14826769,08:51:00,08:51:00,100957,36,11662,,0,0,0
11596716:13642523:14826769,08:52:00,08:52:00,100971,37,12006,,0,0,0
11596716:13642523:14826769,08:53:00,08:53:00,100988,38,12223,,0,0,1
11596716:13642523:14826769,08:54:00,08:54:00,100999,39,12537,,0,0,0
11596716:13642523:14826769,08:54:00,08:54:00,101020,40,12876,,0,0,0
11596716:13642523:14826769,08:55:00,08:55:00,101037,41,13081,,0,0,0
11596716:13642523:14826769,08:56:00,08:56:00,104105,42,13743,,0,0,0
11596716:13642523:14826769,08:58:00,08:58:00,100871,43,14363,,1,0,1
11596587:13642524:14828260,21:26:00,21:26:00,101119,1,0,,0,0,1
11596587:13642524:14828260,21:26:00,21:26:00,101145,2,247,,0,0,0
11596587:13642524:14828260,21:28:00,21:28:00,101080,3,837,,0,0,0
11596587:13642524:14828260,21:28:00,21:28:00,101069,4,1245,,0,0,0
11596587:13642524:14828260,21:29:00,21:29:00,101052,5,1407,,0,0,0
11596587:13642524:14828260,21:30:00,21:30:00,101031,6,1833,,0,0,0
11596587:13642524:14828260,21:30:00,21:30:00,101032,7,2064,,0,0,0
11596587:13642524:14828260,21:31:00,21:31:00,101050,8,2645,,0,0,0
11596587:13642524:14828260,21:32:00,21:32:00,101002,9,2979,,0,0,0
11596587:13642524:14828260,21:33:00,21:33:00,100910,10,3665,,0,0,0
11596587:13642524:14828260,21:34:00,21:34:00,100856,11,4094,,0,0,0
11596587:13642524:14828260,21:35:00,21:35:00,100795,12,4442,,0,0,0
11596587:13642524:14828260,21:35:00,21:35:00,100755,13,4815,,0,0,0
11596587:13642524:14828260,21:36:00,21:36:00,100687,14,5110,,0,0,0
11596587:13642524:14828260,21:36:00,21:36:00,100644,15,5300,,0,0,0
11596587:13642524:14828260,21:37:00,21:37:00,100585,16,5587,,0,0,0
11596587:13642524:14828260,21:38:00,21:38:00,100492,17,5909,,0,0,0
11596587:13642524:14828260,21:38:00,21:38:00,100463,18,6158,,0,0,1
11596587:13642524:14828260,21:38:00,21:38:00,100416,19,6339,,0,0,0
11596587:13642524:14828260,21:39:00,21:39:00,100386,20,6639,,0,0,0
11596587:13642524:14828260,21:39:00,21:39:00,100338,21,6810,,0,0,0
11596587:13642524:14828260,21:40:00,21:40:00,100310,22,7029,,0,0,0
11596587:13642524:14828260,21:40:00,21:40:00,100273,23,7307,,0,0,0
11596587:13642524:14828260,21:41:00,21:41:00,100215,24,7698,,0,0,0
11596587:13642524:14828260,21:42:00,21:42:00,100186,25,8008,,0,0,1
11596587:13642524:14828260,21:43:00,21:43:00,100149,26,8415,,0,0,0
11596587:13642524:14828260,21:44:00,21:44:00,100930,27,8907,,0,0,0
11596587:13642524:14828260,21:46:00,21:46:00,100047,28,9409,,0,0,0
11596587:13642524:14828260,21:47:00,21:47:00,100028,29,9691,,0,0,0
11596587:13642524:14828260,21:49:00,21:49:00,100033,30,10050,,0,0,1
11596587:13642524:14828260,21:50:00,21:50:00,100045,31,10271,,0,0,0
11596587:13642524:14828260,21:50:00,21:50:00,100064,32,10482,,0,0,0
11596587:13642524:14828260,21:52:00,21:52:00,100126,33,10933,,0,0,0
11596587:13642524:14828260,21:52:00,21:52:00,100153,34,11178,,0,0,0
