trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
11739332:14546907:14827384,13:22:00,13:22:00,100212,35,11234,,0,0,0
11739332:14546907:14828174,13:22:00,13:22:00,100212,35,11234,,0,0,0
11739332:14546907:14827384,13:24:00,13:24:00,100320,36,11713,,0,0,1
11739332:14546907:14828174,13:24:00,13:24:00,100320,36,11713,,0,0,1
11739332:14546907:14827384,13:25:00,13:25:00,100384,37,12030,,0,0,0
11739332:14546907:14828174,13:25:00,13:25:00,100384,37,12030,,0,0,0
11739332:14546907:14827384,13:26:00,13:26:00,100427,38,12279,,0,0,0
11739332:14546907:14828174,13:26:00,13:26:00,100427,38,12279,,0,0,0
11739332:14546907:14827384,13:27:00,13:27:00,100515,39,12693,,0,0,0
11739332:14546907:14828174,13:27:00,13:27:00,100515,39,12693,,0,0,0
11739332:14546907:14827384,13:28:00,13:28:00,100573,40,12972,,0,0,0
11739332:14546907:14828174,13:28:00,13:28:00,100573,40,12972,,0,0,0
11739332:14546907:14827384,13:29:00,13:29:00,100616,41,13223,,0,0,0
11739332:14546907:14828174,13:29:00,13:29:00,100616,41,13223,,0,0,0
11739332:14546907:14827384,13:30:00,13:30:00,100673,42,13461,,0,0,0
11739332:14546907:14828174,13:30:00,13:30:00,100673,42,13461,,0,0,0
11739332:14546907:14827384,13:31:00,13:31:00,100737,43,13899,,0,0,0
11739332:14546907:14828174,13:31:00,13:31:00,100737,43,13899,,0,0,0
11739332:14546907:14827384,13:32:00,13:32:00,100747,44,14064,,0,0,0
11739332:14546907:14828174,13:32:00,13:32:00,100747,44,14064,,0,0,0
11739332:14546907:14827384,13:32:00,13:32:00,100756,45,14213,,0,0,1
11739332:14546907:14828174,13:32:00,13:32:00,100756,45,14213,,0,0,1
11739332:14546907:14827384,13:32:00,13:32:00,100777,46,14392,,0,0,0
11739332:14546907:14828174,13:32:00,13:32:00,100777,46,14392,,0,0,0
11739332:14546907:14827384,13:33:00,13:33:00,100792,47,14644,,0,0,0
11739332:14546907:14828174,13:33:00,13:33:00,100792,47,14644,,0,0,0
11739332:14546907:14827384,13:34:00,13:34:00,100850,48,15001,,0,0,0
11739332:14546907:14828174,13:34:00,13:34:00,100850,48,15001,,0,0,0
11739332:14546907:14827384,13:34:00,13:34:00,100912,49,15317,,0,0,0
11739332:14546907:14828174,13:34:00,13:34:00,100912,49,15317,,0,0,0
11739332:14546907:14827384,13:35:00,13:35:00,100936,50,15562,,0,0,0
11739332:14546907:14828174,13:35:00,13:35:00,100936,50,15562,,0,0,0
11739332:14546907:14827384,13:35:00,13:35:00,100968,51,15908,,0,0,0
11739332:14546907:14828174,13:35:00,13:35:00,100968,51,15908,,0,0,0
11739332:14546907:14827384,13:36:00,13:36:00,100997,52,16397,,0,0,0
11739332:14546907:14828174,13:36:00,13:36:00,100997,52,16397,,0,0,0
11739332:14546907:14827384,13:37:00,13:37:00,101024,53,16709,,0,0,0
11739332:14546907:14828174,13:37:00,13:37:00,101024,53,16709,,0,0,0
11739332:14546907:14827384,13:38:00,13:38:00,101053,54,17031,,0,0,0
11739332:14546907:14828174,13:38:00,13:38:00,101053,54,17031,,0,0,0
11739332:14546907:14827384,13:38:00,13:38:00,101100,55,17379,,0,0,0
11739332:14546907:14828174,13:38:00,13:38:00,101100,55,17379,,0,0,0
11739332:14546907:14827384,13:39:00,13:39:00,102707,56,17628,,0,0,1
11739332:14546907:14828174,13:39:00,13:39:00,102707,56,17628,,0,0,1
11739332:14546907:14827384,13:40:00,13:40:00,101167,57,17999,,0,0,0
11739332:14546907:14828174,13:40:00,13:40:00,101167,57,17999,,0,0,0
11739332:14546907:14827384,13:40:00,13:40:00,101186,58,18268,,0,0,0
11739332:14546907:14828174,13:40:00,13:40:00,101186,58,18268,,0,0,0
11739332:14546907:14827384,13:41:00,13:41:00,101239,59,18547,,0,0,0
11739332:14546907:14828174,13:41:00,13:41:00,101239,59,18547,,0,0,0
11739332:14546907:14827384,13:42:00,13:42:00,101240,60,18916,,0,0,0
11739332:14546907:14828174,13:42:00,13:42:00,101240,60,18916,,0,0,0
11739332:14546907:14827384,13:42:00,13:42:00,101231,61,19155,,0,0,0
11739332:14546907:14828174,13:42:00,13:42:00,101231,61,19155,,0,0,0
11739332:14546907:14827384,13:43:00,13:43:00,101214,62,19560,,0,0,0
11739332:14546907:14828174,13:43:00,13:43:00,101214,62,19560,,0,0,0
11739332:14546907:14827384,13:44:00,13:44:00,101211,63,19721,,0,0,0
11739332:14546907:14828174,13:44:00,13:44:00,101211,63,19721,,0,0,0
11739332:14546907:14827384,13:44:00,13:44:00,101205,64,19948,,0,0,0
11739332:14546907:14828174,13:44:00,13:44:00,101205,64,19948,,0,0,0
11739332:14546907:14827384,13:45:00,13:45:00,101202,65,20233,,0,0,0
11739332:14546907:14828174,13:45:00,13:45:00,101202,65,20233,,0,0,0
11739332:14546907:14827384,13:46:00,13:46:00,101154,66,20681,,0,0,0
11739332:14546907:14828174,13:46:00,13:46:00,101154,66,20681,,0,0,0
11739332:14546907:14827384,13:48:00,13:48:00,102426,67,21241,,1,0,1
11739332:14546907:14828174,13:48:00,13:48:00,102426,67,21241,,1,0,1
12339292:14546909:14828053,15:02:00,15:02:00,100858,1,0,,0,0,1
12339292:14546909:14828053,15:03:00,15:03:00,101157,2,560,,0,0,0
12339292:14546909:14828053,15:04:00,15:04:00,101951,3,836,,0,0,0
12339292:14546909:14828053,15:04:00,15:04:00,101247,4,1129,,0,0,0
12339292:14546909:14828053,15:05:00,15:05:00,101278,5,1613,,0,0,0
12339292:14546909:14828053,15:06:00,15:06:00,101290,6,1885,,0,0,1
12339292:14546909:14828053,15:07:00,15:07:00,101282,7,2317,,0,0,0
12339292:14546909:14828053,15:08:00,15:08:00,101277,8,2570,,0,0,0
12339292:14546909:14828053,15:08:00,15:08:00,101265,9,3003,,0,0,0
12339292:14546909:14828053,15:09:00,15:09:00,101238,10,3170,,0,0,0
12339292:14546909:14828053,15:10:00,15:10:00,101222,11,3625,,0,0,0
12339292:14546909:14828053,15:10:00,15:10:00,101218,12,3833,,0,0,0
12339292:14546909:14828053,15:11:00,15:11:00,101219,13,4152,,0,0,1
12339292:14546909:14828053,15:12:00,15:12:00,101181,14,4628,,0,0,0
